Title,Date Posted,Employer,Location,Salary,Employment Type,Start Date,Vacancies,Description,Languages,Education,Experience,Responsibilities
Aquatic Science Technician IV & V,"Posted on March 05, 2024",Government of Canada / Gouvernement du Canada,"Inuvik, , NT","$70,159YEAR annually YEAR",Permanent employmentFull time,Starts as soon as possible,1 vacancy,"• Establishes, fosters and maintains working relationships and negotiates partnerships, agreements and contracts with Indigenous and co-management partners, researchers and contractors concerning research programs.• Coordinates and organizes logistic support for field projects including the allocation of resources from an assigned budget and participates in field projects.• Coordinates and organizes logistic support for meetings with co-management partners and northern stakeholders.• Analyzes, compiles and summarizes data for inclusion in technical, manuscript, and/or data reports; project correspondence for internal and external interest groups; and progress reports for use by the Aquatic Science Biologist.• Coordinates and organizes logistic support for research leads that work through the Inuvik DFO Office (for positions in Inuvik, NT);• Coordinates and organizes Inuvik Office, lab, garage, and vehicle use and upkeep (for positions in Inuvik, NT).",,,,
apprentice carpenter,"Posted on March 17, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$32.69 to $46.69HOUR hourly HOUR,Full time,Starts as soon as possible,1 vacancy,"*ABOUT US*

Aecon Construction Solutions Inc. is a multi-disciplined construction company offering superior civil, electrical and mechanical services including piping, insulation, scaffolding, and module fabrication. As one of Canada's largest and most diverse construction and infrastructure development companies, we're always on the search for exceptional craft candidates to fill our ever-expanding project portfolios. We are focused on hiring only those exceptional individuals who value safety in the workplace and remain committed to the collective goal of maintaining our Aecon ?zero injury? culture.

*PURPOSE OF THE POSITION*

As part of the greater remediation project at Giant Mine in Yellowknife, Northwest Territories; we have multiple opportunities ranging from entry-level positions to experienced professionals. These roles are expected to kick off early in March and will work a 14/7 rotation. Reporting to the appropriate site supervisor, the Carpenter Apprentice & Journeypersons will be responsible for effectively delivering the project to ensure Aecon Construction Solutions Inc. achieves their general and specific project requirements.

*ESSENTIAL FUNCTIONS AND RESPONSIBILITIES*
* Reading blueprints
* Undertaking the layout (selecting materials, planning sequences and methods of work, measuring and marking materials to avoid costly mistakes or omissions)
* Prepare, erect and remove structural formwork for concrete foundations, walls, columns, beams and shafts
* Cutting and shaping materials and joining them with nails, screws, bolts or glue
* Checking completed units to be sure they are level, square, plumb and the right size, shape and location
* General carpentry such as framing, hoarding, doors and frames and other activities as assigned
* Journeyman will mentor apprentices

*KNOWLEDGE AND SKILLS*
* Certified Journeyman Ticket or indentured in the apprenticeship program
* Doka experience an asset
* The ability to stand, crouch and kneel for long periods of time
* Manual dexterity
* Good sense of balance when working on scaffolds
* The ability to solve math problems quickly and accurately
* The ability to get along well with others on a work team
* Must be willing to work in remote job locations
* Must have a strong understanding of safety procedures and policies on an industrial job site
* Ariel work platform ticket
* Fall protection ticket

*PHYSICAL DEMANDS*
* Repetitive movement
* Able to perform in a fast-paced environment
* Continuously changing work tasks
* Ability to lift and work with materials weighing up to 25kg
* Ability to work in all weather conditions and environments

Job Type: Full-time

Salary: $32.69-$46.69 per hour



Experience:
* carpentry: 1 year (preferred)


Work Location: In person",,,,
kitchen helper,"Posted on December 18, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.05 to $18.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Education: Secondary (high) school graduation certificate. or equivalent experience. Experience: 1 to less than 7 months.,English,"Secondary (high) school graduation certificate

or equivalent experience",1 to less than 7 months,
barber,"Posted on February 28, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$17.19HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Cut and trim hair according to client's instructions or preferences. Shave and trim beards and mustaches. Provide other hair treatment, such as waving, straightening and tinting and also provide scalp conditioning massages. Work conditions and physical capabilities: Repetitive tasks. Hand-eye co-ordination. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Cut and trim hair according to client's instructions or preferences, Shave and trim beards and mustaches, Provide other hair treatment, such as waving, straightening and tinting and also provide scalp conditioning massages"
"co-ordinator, youth development","Posted on March 22, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$25.00HOUR hourly HOUR,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,
carpenter,"Posted on February 02, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$34.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Measure, cut, shape, assemble and join materials made of wood, wood substitutes, lightweight steel and other materials. Prepare tenders and quotations. Schedule and co-ordinate work on sites. Estimate costs and materials. Experience: 7 months to less than 1 year.",English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Measure, cut, shape, assemble and join materials made of wood, wood substitutes, lightweight steel and other materials, Prepare tenders and quotations, Schedule and co-ordinate work on sites, Estimate costs and materials"
grocery clerk,"Posted on December 07, 2023",Government of Canada / Gouvernement du Canada,"Inuvik, NT",$18.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,4 vacancies,"Education: No degree, certificate or diploma. Tasks: Bag, box or parcel purchases for customers, for shipment or delivery. Obtain articles for customers from shelf or stockroom. Order stock. Record incoming stock. Keep stock clean and in order. Price items using stamp or stickers according to price list. Perform general cleaning duties (i.e. sweeping, mopping floors). Operate cash register. Provide customer service. Experience: Experience an asset. Health benefits: Dental plan. Disability benefits. Health care plan. Financial benefits: Group insurance benefits. Life insurance. Registered Retirement Savings Plan (RRSP). Stocks/shares. Long term benefits: Maternity and parental benefits. Other benefits: Other benefits.",English,"No degree, certificate or diploma",Experience an asset,"Bag, box or parcel purchases for customers, for shipment or delivery, Obtain articles for customers from shelf or stockroom, Order stock, Record incoming stock, Keep stock clean and in order, Price items using stamp or stickers according to price list, Perform general cleaning duties (i.e. sweeping, mopping floors), Operate cash register, Provide customer service"
food counter attendant,"Posted on March 20, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.05HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: No degree, certificate or diploma. Tasks: Keep records of the quantities of food used. Package take-out food. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Handle and store cleaning products. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Remove kitchen garbage and trash. Sweep, mop, wash and polish floors. Experience: Will train.",English,"No degree, certificate or diploma",Will train,"Keep records of the quantities of food used, Package take-out food, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Handle and store cleaning products, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors"
janitor,"Posted on March 02, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$25.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: No degree, certificate or diploma. Tasks: Sweep, mop, scrub and wax hallways, floors and stairs. Empty trash cans and other waste containers. Wash windows, interior walls and ceilings. Make adjustments and minor repairs to heating, cooling, ventilation, plumbing and electrical systems, and contact tradespersons for major repairs. Perform other routine maintenance jobs such as painting and drywall repair. Clean and disinfect bathrooms and fixtures. Work with minimal supervision. Clean snow and ice from walkways and parking areas. Experience: Experience an asset.",English,"No degree, certificate or diploma",Experience an asset,"Sweep, mop, scrub and wax hallways, floors and stairs, Empty trash cans and other waste containers, Wash windows, interior walls and ceilings, Make adjustments and minor repairs to heating, cooling, ventilation, plumbing and electrical systems, and contact tradespersons for major repairs, Perform other routine maintenance jobs such as painting and drywall repair, Clean and disinfect bathrooms and fixtures, Work with minimal supervision, Clean snow and ice from walkways and parking areas"
shift manager - fast food restaurant,"Posted on January 16, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$21.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Ensure food service and quality control. Maintain records of stock, repairs, sales and wastage. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Standing for extended periods. Experience: 7 months to less than 1 year. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Other benefits: Deferred Profit Sharing Plan (DPSP).",English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage"
rental counter representative,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$23.00 to $25.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Education: Secondary (high) school graduation certificate. Screening questions: Are you currently legally able to work in Canada?. Do you currently reside in proximity to the advertised location?. Experience: 1 year to less than 2 years. Health benefits: Dental plan. Health care plan. Financial benefits: Group insurance benefits. Life insurance. Pension plan.,English,Secondary (high) school graduation certificate,1 year to less than 2 years,
home child care provider,"Posted on November 28, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$17.17HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Assume full responsibility for household in absence of parents. Perform light housekeeping and cleaning duties. Maintain a safe and healthy environment in the home. Prepare and serve nutritious meals. Supervise and care for children. Take children to and from school and to appointments. Tend to emotional well-being of children. Certificates, licences, memberships, and courses : CPR Certificate. First Aid Certificate. Target audience: School age (6 - 12 years). Over 12 years. Security and safety: Criminal record check. Experience: Experience an asset.",English,Secondary (high) school graduation certificate,Experience an asset,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Maintain a safe and healthy environment in the home, Prepare and serve nutritious meals, Supervise and care for children, Take children to and from school and to appointments, Tend to emotional well-being of children"
building maintenance supervisor,"Posted on March 19, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,,Starts as soon as possible,1 vacancy,"At Northview, we are a passionate, community-focused team dedicated to making our properties the best they can be. Headquartered in Calgary, AB, we currently operate in nine provinces and two territories, managing over 14,600 multi-residential units, 1.25 million sq. feet of commercial space, and 200 executive suites. We are proud to live, work, and play in the neighborhoods we serve, next to our residents, hotel guests and commercial tenants.
 We are looking for a Maintenance Supervisor to join our Residential team in Yellowknife, NT. Reporting to the Regional Manager, you will lead a team of Maintenance Technicians in a specified region. While following our Health and Safety requirements, our Maintenance Supervisors will not only",,,,
concrete finisher,"Posted on February 02, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$32.00 to $34.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,,4 vacancies,"Education: No degree, certificate or diploma. Work site environment: Dusty. Noisy. Outdoors. Work setting: Commercial. Industrial. Residential. Sidewalks and curbs. Tasks: Check formwork, granular base and steel reinforcement materials and direct placement of concrete into forms or onto surfaces according to grade. Fill hollows and remove spots on freshly poured cement. Operate power vibrators to compact concrete. Level top surface concrete according to grade and depth specification. Install anchor bolts, steel plates, door sills and other fixtures. Apply hardening and sealing components to cure surfaces. Waterproof, damp proof and restore surfaces. Repair, resurface and replace worn or damaged sections of concrete structures. Erect and dismantle concrete forms, scaffolding, ramps, catwalks shoring and barricades. Type of materials: Colours and sealers. Hardners and epoxies. Reinforcing membrane and protective covering. Work conditions and physical capabilities: Physically demanding. Handling heavy loads. Bending, crouching, kneeling. Attention to detail. Standing for extended periods. Weight handling: Up to 23 kg (50 lbs). Own tools/equipment: Steel-toed safety boots. Personal suitability: Team player. Experience: 3 years to less than 5 years. Health benefits: Dental plan. Health care plan. Financial benefits: Life insurance. Other benefits: Other benefits. Transportation provided by employer.",English,"No degree, certificate or diploma",3 years to less than 5 years,"Check formwork, granular base and steel reinforcement materials and direct placement of concrete into forms or onto surfaces according to grade, Fill hollows and remove spots on freshly poured cement, Operate power vibrators to compact concrete, Level top surface concrete according to grade and depth specification, Install anchor bolts, steel plates, door sills and other fixtures, Apply hardening and sealing components to cure surfaces, Waterproof, damp proof and restore surfaces, Repair, resurface and replace worn or damaged sections of concrete structures, Erect and dismantle concrete forms, scaffolding, ramps, catwalks shoring and barricades"
food service counter attendant,"Posted on February 01, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$17.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Package take-out food. Portion and wrap foods. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Experience: Will train. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits.",English,Secondary (high) school graduation certificate,Will train,"Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders"
"clerk, supermarket","Posted on February 27, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.05HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,5 vacancies,"Education: No degree, certificate or diploma. Work conditions and physical capabilities: Fast-paced environment. Handling heavy loads. Standing for extended periods. Bending, crouching, kneeling. Experience: 1 to less than 7 months.",English,"No degree, certificate or diploma",1 to less than 7 months,
kitchen helper,"Posted on March 02, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.75HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: No degree, certificate or diploma. Tasks: Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Sweep, mop, wash and polish floors. Wash, peel and cut vegetables and fruit. Work conditions and physical capabilities: Fast-paced environment. Repetitive tasks. Experience: Will train.",English,"No degree, certificate or diploma",Will train,"Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Sweep, mop, wash and polish floors, Wash, peel and cut vegetables and fruit"
food counter attendant,"Posted on February 28, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.05HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: No degree, certificate or diploma. Tasks: Keep records of the quantities of food used. Package take-out food. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Handle and store cleaning products. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Remove kitchen garbage and trash. Sweep, mop, wash and polish floors. Experience: Experience an asset.",English,"No degree, certificate or diploma",Experience an asset,"Keep records of the quantities of food used, Package take-out food, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Handle and store cleaning products, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors"
,,,,,,,,,,,,
kitchen helper,"Posted on February 13, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Education: Secondary (high) school graduation certificate. Experience: 1 to less than 7 months.,English,Secondary (high) school graduation certificate,1 to less than 7 months,
"assistant manager, restaurant","Posted on December 21, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$29.72HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: No degree, certificate or diploma. Budgetary responsibility: 0 - $100,000. Tasks: Plan, organize, direct, control and evaluate daily operations. Determine type of services to be offered and implement operational procedures. Balance cash and complete balance sheets, cash reports and related forms. Conduct performance reviews. Cost products and services. Enforce provincial/territorial liquor legislation and regulations. Organize and maintain inventory. Monitor revenues and modify procedures and prices. Ensure health and safety regulations are followed. Participate in marketing plans and implementation. Set staff work schedules and monitor staff performance. Leading/instructing individuals. Address customers' complaints or concerns. Provide customer service. Recruit, train and supervise staff. Supervision: 16-20 people. More than 20 people. Certificates, licences, memberships, and courses : Smart Serve. Computer and technology knowledge: MS Excel. MS Outlook. MS Word. Point of sale system. Spreadsheet. Security and safety: Bondable. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Tight deadlines. Repetitive tasks. Handling heavy loads. Physically demanding. Attention to detail. Combination of sitting, standing, walking. Standing for extended periods. Personal suitability: Accurate. Client focus. Dependability. Efficient interpersonal skills. Excellent oral communication. Excellent written communication. Flexibility. Organized. Reliability. Team player. Ability to multitask. Experience: 2 years to less than 3 years. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Financial benefits: Bonus. Gratuities. Group insurance benefits. Life insurance.",English,"No degree, certificate or diploma",2 years to less than 3 years,"Plan, organize, direct, control and evaluate daily operations, Determine type of services to be offered and implement operational procedures, Balance cash and complete balance sheets, cash reports and related forms, Conduct performance reviews, Cost products and services, Enforce provincial/territorial liquor legislation and regulations, Organize and maintain inventory, Monitor revenues and modify procedures and prices, Ensure health and safety regulations are followed, Participate in marketing plans and implementation, Set staff work schedules and monitor staff performance, Leading/instructing individuals, Address customers' complaints or concerns, Provide customer service, Recruit, train and supervise staff, 16-20 people, More than 20 people"
food service supervisor,"Posted on February 28, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$19.04HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Estimate ingredient and supplies required for meal preparation . Hire food service staff. Ensure that food and service meet quality control standards. Maintain records of stock, repairs, sales and wastage. Establish work schedules. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Establish work schedules"
food counter attendant,"Posted on December 07, 2023",Government of Canada / Gouvernement du Canada,"Inuvik, NT",$18.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: No degree, certificate or diploma. Tasks: Package take-out food. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Handle and store cleaning products. Remove kitchen garbage and trash. Sweep, mop, wash and polish floors. Experience: Experience an asset. Health benefits: Dental plan. Disability benefits. Health care plan. Financial benefits: Bonus. Group insurance benefits. Life insurance. Registered Retirement Savings Plan (RRSP). Stocks/shares. Long term benefits: Maternity and parental benefits.",English,"No degree, certificate or diploma",Experience an asset,"Package take-out food, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Handle and store cleaning products, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors"
journeyman/woman plumber,"Posted on March 21, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,Full time,Starts as soon as possible,1 vacancy,"Journeyman Plumber

At Nahanni we are cold weather and remote location construction experts. Our clients benefit from our ability to provide all-inclusive construction services and project management. These services help us deliver turnkey operations and logistical services for all your remediation, industrial and commercial construction needs. All our work is safety focused and quality oriented, and with over 30 years construction experience in the North we have the staff, equipment, and skills to get the job done right.

ABOUT THE POSITION

Nahanni Construction Ltd. is accepting resumes for a Journeyman Plumber/gas fitter. The incumbent will be responsible for the installation, maintenance and repairs associated with plumbing and heating systems in accommodations camps and office buildings in Yellowknife and remote mine sites. The candidate would ideally be from or willing to relocate to Yellowknife, but a rotational assignment is an option.

SCOPE

? Installs commercial plumbing, heating and fuel distribution systems

? Tends to plumbing and boiler or furnace issues to keep heating/cooling equipment running.

? Participates in all construction and remodeling projects involving plumbing, heating and air conditioning.

? Performs plumbing equipment and fittings inventory and orders parts as required.

? Is knowledgeable of local and federal regulations to ensure compliance.

? Provides technical repairs and Emergency call-out services to existing facilities.

? Tests existing heating and HVAC equipment for proper performance.

? Keeps detailed and accurate maintenance and inspection reports and safety documentation.

? Maintains a working knowledge of changes in technology, compliance, and repair techniques.

? Other duties as required.

REQUIREMENTS

? Journeyman plumber / Gas Fitter Certification (NT or Red Seal)

? Completion of apprenticeship training preferred.

? Ability to work independently in a busy environment.

? Highly flexible, with solid interpersonal skills that allow one to work effectively in a diverse working environment.

? Able to work well under pressure.

? Strong attention to detail.

Job Type: Full-time

Benefits:
* Dental care
* Employee assistance program
* Extended health care
* Life insurance
* Vision care
Schedule:
* 12 hour shift
* Overtime
Supplemental pay types:
* Overtime pay

Work Location: In person",,,,
food counter attendant,"Posted on January 02, 2024",Government of Canada / Gouvernement du Canada,"Inuvik, NT",$18.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: Secondary (high) school graduation certificate. Work setting: Relocation costs not covered by employer. Tasks: Clean and sanitize items such as dishwasher mats, carts and waste disposal units. Clear and clean tables, trays and chairs. Operate dishwashers to wash dishes, glassware and flatware. Place dishes in storage area. Replenish condiments and other supplies at tables and serving areas. Sanitize and wash dishes and other items by hand. Keep records of the quantities of food used. Package take-out food. Portion and wrap foods. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment. Remove kitchen garbage and trash. Sweep, mop, wash and polish floors. Experience: Will train.",English,Secondary (high) school graduation certificate,Will train,"Clean and sanitize items such as dishwasher mats, carts and waste disposal units, Clear and clean tables, trays and chairs, Operate dishwashers to wash dishes, glassware and flatware, Place dishes in storage area, Replenish condiments and other supplies at tables and serving areas, Sanitize and wash dishes and other items by hand, Keep records of the quantities of food used, Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors"
sandwich artist,"Posted on December 22, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$17.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,4 vacancies,"Education: No degree, certificate or diploma. Tasks: Bring clean dishes, flatware and other items to serving areas and set tables. Clear and clean tables, trays and chairs. Replenish condiments and other supplies at tables and serving areas. Keep records of the quantities of food used. Package take-out food. Portion and wrap foods. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Use manual and electrical appliances to clean, peel, slice and trim foodstuffs. Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Wash, peel and cut vegetables and fruit. Equipment and machinery experience: Conventional oven. Electronic cash register. Food dispensers. Security and safety: Criminal record check. Transportation/travel information: Public transportation is available. Travel expenses not paid by employer. Work conditions and physical capabilities: Fast-paced environment. Handling heavy loads. Overtime required. Physically demanding. Repetitive tasks. Standing for extended periods. Work under pressure. Attention to detail. Personal suitability: Client focus. Efficient interpersonal skills. Reliability. Team player. Ability to multitask. Initiative. Dependability. Positive attitude. Screening questions: Are you currently legally able to work in Canada?. Are you willing to relocate for this position?. Experience: Will train. Financial benefits: Gratuities.",English,"No degree, certificate or diploma",Will train,"Bring clean dishes, flatware and other items to serving areas and set tables, Clear and clean tables, trays and chairs, Replenish condiments and other supplies at tables and serving areas, Keep records of the quantities of food used, Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Use manual and electrical appliances to clean, peel, slice and trim foodstuffs, Clean and sanitize kitchen including work surfaces, cupboards, storage areas, appliances and equipment, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Wash, peel and cut vegetables and fruit"
warehouse supervisor,"Posted on December 19, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$40.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: College/CEGEP. Work setting: Warehouse. Tasks: Establish work schedules and procedures. Prepare and submit reports. Resolve work problems, provide technical advice and recommend measures to improve productivity and product quality. Recruit and hire staff. Train workers in duties and policies. Arrange training for staff. Conduct performance reviews. Co-ordinate, assign and review work. Supervision: 5-10 people. Work conditions and physical capabilities: Fast-paced environment. Tight deadlines. Attention to detail. Weight handling: Up to 23 kg (50 lbs). Personal suitability: Accurate. Excellent oral communication. Excellent written communication. Initiative. Organized. Team player. Experience: 1 year to less than 2 years. Other benefits: Free parking available.",English,College/CEGEP,1 year to less than 2 years,"Establish work schedules and procedures, Prepare and submit reports, Resolve work problems, provide technical advice and recommend measures to improve productivity and product quality, Recruit and hire staff, Train workers in duties and policies, Arrange training for staff, Conduct performance reviews, Co-ordinate, assign and review work, 5-10 people"
customer service clerk,"Posted on March 19, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.00 to $21.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: Secondary (high) school graduation certificate. or equivalent experience. Work setting: Retail/wholesale establishment/distribution centre. Tasks: Answer written and oral inquiries. Address customers' complaints or concerns. Answer inquiries and provide information to customers. Arrange for refunds and credits. Explain the type and cost of services offered. Sell merchandise. Explain procedures, risks and benefits to clients. Answer clients' inquiries and provide information. Computer and technology knowledge: Internet. MS Outlook. Electronic mail. Security and safety: Criminal record check. Work conditions and physical capabilities: Attention to detail. Work under pressure. Bending, crouching, kneeling. Physically demanding. Standing for extended periods. Walking. Personal suitability: Punctuality. Client focus. Efficient interpersonal skills. Excellent oral communication. Excellent written communication. Flexibility. Organized. Reliability. Team player. Initiative. Judgement. Ability to multitask. Dependability. Honesty. Quick learner. Screening questions: Are you available for the advertised start date?. Are you currently legally able to work in Canada?. Do you currently reside in proximity to the advertised location?. Do you have previous experience in this field of employment?. Experience: Experience an asset. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Long term benefits: Long-term care insurance. Other benefits: Deferred Profit Sharing Plan (DPSP). Free parking available. On-site amenities.",English,"Secondary (high) school graduation certificate

or equivalent experience",Experience an asset,"Answer written and oral inquiries, Address customers' complaints or concerns, Answer inquiries and provide information to customers, Arrange for refunds and credits, Explain the type and cost of services offered, Sell merchandise, Explain procedures, risks and benefits to clients, Answer clients' inquiries and provide information"
sandwich artist,"Posted on January 14, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$19.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: No degree, certificate or diploma. Experience: 1 year to less than 2 years.",English,"No degree, certificate or diploma",1 year to less than 2 years,
