Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
3 Bedroom Available | Call Now!,3299,"5 Dufresne Court, Toronto, ON, M3C 1B7",2024-03-12 20:16:59,Apartment,3,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Gym, Pool","Located at 5 Dufresne Court, near the Don Mills Roadand Eglinton Ave East intersection, Dufresne Court Apartments has spacious floor plans that provide a comfortable living space for growing and mature families.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!Suite offers:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-available-call-now/1687052879
1 Bedroom Available - Toronto | Call Now!,2449,"5 Dufresne Court, Toronto, ON, M3C 1B7",2024-03-12 20:16:55,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Gym, Pool, Elevator in Building","Located at 5 Dufresne Court in Toronto, near the Don Mills Road and Eglinton Avenue East intersection, Dufresne Court Apartments has 1 bedroom apartment, 2 bedroom apartment, and 3 bedroom apartment options for rent with parquet and ceramic floors. Dufresne's spacious floor plan provides comfortable living space for growing and mature families.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-toronto-call-now/1684434540
1 Bedroom Available | $1000 off FMR | East York!,2499,"6 Grandstand Place, Toronto, ON, M4H 1E4",2024-03-12 20:16:51,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Located at the heart of East York in Toronto, Blenheim Court Apartments has 1 bedroom apartment, 2 bedroom apartment, and 3 bedroom apartment options for rent with ample storage. Situated at 6 Grandstand Place, near the Thorncliffe Park Drive and Overlea Boulevard intersection, the building features suites with hardwood floors and large windows that provide ample lighting.PROMOTION: Receive $1000 off your first month of rent! *Some conditions apply, please inquire for more details.*",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-1000-off-fmr-east-york/1686629991
1 Bedroom - VP & Eglinton | Call Now!,2299,"1-7 Biggin Court, Scarborough, ON, M4A 1M1",2024-03-12 20:16:47,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,No,"Laundry (In Building), Fridge / Freezer",Elevator in Building,"Biggin Court Apartments are located at 1, 2, 3, 5, & 7 Biggin Court in Scarborough, near the Victoria Park Avenue and Eglinton Avenue East. This ""Feel at Home"" community offers Studio, 1 and 2 bedroom apartment options with some newly renovated suites!Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!Suite offers:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-vp-eglinton-call-now/1648228361
Studio - VP & Eglinton | $500 Off FMR | Call Now!,1915,"1-7 Biggin Court, Scarborough, ON, M4A 1M1",2024-03-12 20:16:43,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",Elevator in Building,"Biggin Court Apartments are located at 1, 2, 3, 5, & 7 Biggin Court in Scarborough, near the Victoria Park Avenue and Eglinton Avenue East. This ""Feel at Home"" community offers Studio, 1 and 2 bedroom apartment options with some newly renovated suites!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-vp-eglinton-500-off-fmr-call-now/1677742257
1 Bedroom Available | Thorncliffe Park & Overlea Blvd!,2599,"50 Thorncliffe Park, Toronto, ON, M4H 1J2",2024-03-12 20:16:39,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Thorncliffe Park Apartments are located at 50 Thorncliffe Park Drive, near the Thorncliffe Park Drive and Overlea Boulevard intersection. The apartment is highly accessible via TTC and private cars through the Don Valley Parkway.Looking for a future move-in date? Give us a call today to speak with one of our Customer Care Representatives to find out more!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-thorncliffe-park-overlea-blvd/1686629983
2 Bedroom Available  - Scarborough |  Call Now!,2749,"1631 Victoria Park Avenue, Scarborough, ON, M1R 1P2",2024-03-12 20:16:02,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Victoria Park Apartments is located at 1631 Victoria Park Ave in Scarborough, near the Lawrence Avenue East and Victoria Park Avenue intersection. Offering something for everyone with proximity to major shopping centres, grocery stores, parks, and restaurants.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-available-scarborough-call-now/1687052801
1 Bedroom Available in Scarborough | $250 Off FMR | Call Now!,2149,"1631 Victoria Park Avenue, Scarborough, ON, M1R 1P2",2024-03-12 20:15:57,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Limited,Not Available,No,No,Not Included,Outdoors only,"Laundry (In Building), Fridge / Freezer",,"Victoria Park Apartments is located at 1631 Victoria Park Ave in Scarborough, near the Lawrence Avenue East and Victoria Park Avenue intersection. Offering something for everyone with proximity to major shopping centres, grocery stores, parks, and restaurants.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-in-scarborough-250-off-fmr-call-now/1678658182
Chaplin Crescent Apartments - 1 Bdrm available at 321 Chaplin Cr,2295,"321 Chaplin Crescent, Toronto, ON, M5P 1B2",2024-03-12 20:15:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,Month-to-month,,Yes,705,No,Yes,Balcony,No,,"Bicycle Parking, Elevator in Building",No Last Month's Rent Deposit,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/chaplin-crescent-apartments-1-bdrm-available-at-321-chaplin-cr/1670650233
2bdr basement apartment for monthly rent in Etobicoke,3200,"Etobicoke, ON M9R 3C7",2024-03-12 20:03:13,Basement,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Cable / TVInternet,1,Month-to-month,"March 12, 2024",No,990,Yes,Yes,Yard,No,"Laundry (In Unit), Fridge / Freezer",,"The entire 2-bedroom apartment located on the lower level of a detached house, professionally cleaned and maintained. It has been designed and decorated to offer guests a luxury and comfort accommodation at a reasonable price. Easy to commute to and from: direct bus to Kipling subway station and then to the Toronto downtown. There are 2 parking spots on the private driveway plus free street parking. 1.5 Gbps internet, premium TV channels with Netflix.",10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2bdr-basement-apartment-for-monthly-rent-in-etobicoke/1688030604
"Treatment Room for Rent at Sol Medical Spa. Forest Hill, Toronto",1200,"Toronto, ON M5N 1E3",2024-03-10 19:05:00,,,,,,,,,Yes,,No,,,,,,"Access to a waiting room, Laundry, bathrooms , great room for a start up. The price is $1200 to $1500 depending on the size you would like",768 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/treatment-room-for-rent-at-sol-medical-spa-forest-hill-toronto/1677000200
2 Bedroom for Rent in Midtown Toronto's Leaside Neighourhood!,2875,"6 Airdrie Road, East York, ON, M4G 1L7",2024-03-11 00:08:02,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,Not Available,No,Yes,Yard,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Kelvingrove Apartments offers luxury rentals in the heart of mid-town Toronto's Leaside neighbourhood. While the suites have been completely renovated to reflect contemporary design and modern finishes, Kelvingrove still maintains its historical charm and continues to preserve its distinct position in the Leaside community. You can expect modern kitchens and bathrooms with sleek finishes such as granite countertops, stainless steel appliances, dishwasher, in-suite laundry and beautiful wood flooring. Enjoy luxurious condo-styled features such as window coverings and central air conditioning. Some notable amenities of this property include garage, heated parking our beautiful gazebo and courtyard surrounded by award winning landscaping. Kelvingrove is conveniently located near the Leaside Village Shopping Centre and the popular restaurants, cafes and shops of Bayview Avenue. Only 20 minutes from downtown Toronto with easy access to the DVP, TTC bus stops and the Yonge and Eglinton subway station.Suite Features:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-for-rent-in-midtown-torontos-leaside-neighourhood/1674565016
1 Bedroom Coach House for Rent in Midtown Toronto!,2600,"6 Airdrie Road, East York, ON, M4G 1L7",2024-02-22 00:41:19,Apartment,1,1,"Hydro_No,Heat_No,Water_Yes",Not Included,0,1 Year,,Yes,Not Available,No,No,Yard,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Kelvingrove Apartments offers luxury rentals in the heart of mid-town Toronto's Leaside neighbourhood. While the suites have been completely renovated to reflect contemporary design and modern finishes, Kelvingrove still maintains its historical charm and continues to preserve its distinct position in the Leaside community. You can expect modern kitchens and bathrooms with sleek finishes such as quartz countertops, stainless steel appliances, dishwasher, in-suite laundry and beautiful wood flooring. Enjoy luxurious condo-styled features such as window coverings and central air conditioning. Some notable amenities of this property include garage, heated parking our beautiful gazebo and courtyard surrounded by award winning landscaping. Kelvingrove is conveniently located near the Leaside Village Shopping Centre and the popular restaurants, cafes and shops of Bayview Avenue. Only 20 minutes from downtown Toronto with easy access to the DVP, TTC bus stops and the Yonge and Eglinton subway station.Suite Features:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-coach-house-for-rent-in-midtown-toronto/1683186335
1 Bedroom Basement Apartment,1900,"Etobicoke, ON M9W 3G1",2024-03-12 00:30:29,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"April 1, 2024",No,750,No,Yes,Not Included,No,"Laundry (In Building), Fridge / Freezer",,"Bright and sunny one bedroom basement apartment available for rent in gorgeous & cozy raised detached bungalow. Tastefully & Freshly Renovated, Spacious & meticulously maintained, located on a quiet, family - friendly street in North Etobicoke. The area is a quiet neighborhood, so if you like coming to a peaceful and quiet place after work; this is your kind of space. You must be a NON SMOKER.","1,331 visits",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment/1684213412
"parking, kingston and warden - ID 3160",130,"1420 Kingston Road, Toronto, ON, M1N 1R3",2024-03-01 00:09:07,,,,,,,,,,,,,,,,,,,https://www.kijiji.ca/v-storage-parking/city-of-toronto/parking-kingston-and-warden-id-3160/1683888295
1 Bedroom  for Rent in Midtown Toronto's Leaside Neighourhood!,2400,"6 Airdrie Road, East York, ON, M4G 1L7",2024-03-11 00:08:02,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,Not Available,No,Yes,Yard,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Kelvingrove Apartments offers luxury rentals in the heart of mid-town Toronto's Leaside neighbourhood. While the suites have been completely renovated to reflect contemporary design and modern finishes, Kelvingrove still maintains its historical charm and continues to preserve its distinct position in the Leaside community. You can expect modern kitchens and bathrooms with sleek finishes such as granite countertops, stainless steel appliances, dishwasher, in-suite laundry and beautiful wood flooring. Enjoy luxurious condo-styled features such as window coverings and central air conditioning. Some notable amenities of this property include garage, heated parking our beautiful gazebo and courtyard surrounded by award winning landscaping. Kelvingrove is conveniently located near the Leaside Village Shopping Centre and the popular restaurants, cafes and shops of Bayview Avenue. Only 20 minutes from downtown Toronto with easy access to the DVP, TTC bus stops and the Yonge and Eglinton subway station.Suite Features:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent-in-midtown-torontos-leaside-neighourhood/1674565059
X--Large Room For Rent Near YORK U,850,"North York, ON M3J 0C9",2024-03-12 21:11:09,,,,,,,,,No,,Yes,,,,,,"STUDENTS ONLY
1 INDIVIDUAL ONLY
X-Large bedroom for rent.
Available April 1, 2024.
Walking distance for York U, Seneca @York, subway stations, grocery stores and more ......
Bedroom on main Floor has 2 closet, and nice BIG windows......
Washroom share with 1 male Only.
High Speed Internet and Utilities All Included.
Please message for more information.",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/x-large-room-for-rent-near-york-u/1688036846
Basement For Rent,1700,"18 Rubydale Gardens, North York, ON",2024-03-12 21:08:25,Basement,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,2,1 Year,"April 1, 2024",No,700,No,Yes,YardBalcony,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Newly Renovated Basement for Rent
Private Basement, Separate entrance
Includes Utilities and Laundry
2 Parking Spaces also Included
Near Finchdale Mall, Finch Bus Stop, Grocery, Bank
Call 416-721-8690",7 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-for-rent/1688036601
BATHURST&FINCH-MALE ONLY-MONTH TO MONTH RENTAL-TTC SUBWAY,1150,"North York, ON M2R",2024-03-12 21:07:58,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,1,Month-to-month,"March 12, 2024",No,350,Yes,No,Balcony,Outdoors only,"Laundry (In Building), Fridge / Freezer","Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","Welcome,",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bathurst-finch-male-only-month-to-month-rental-ttc-subway/1688036557
Room For Rent St.Clair & Dufferin From April 1,780,"York, ON M6E 3H6",2024-03-12 21:06:25,,,,,,,,,No,,Yes,,,,,,"Basement furnished room available April 1
St Clair / Dufferin area
Room is brand new renovated
No extra fees. All inclusive
Unlimited Hi-Speed Wi-Fi internet
Available Coin Laundry
Close to schools, banks, bakery, shops, restaurants, grocery
24 hours public transportation
Single person only",7 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-st-clair-dufferin-from-april-1/1688036399
2020 Moomba Helix,115000,,2024-02-21 21:47:33,,,,,,,,,,,,,,,,,"Currently in storage, winterized, shrink wrapped and oil changes completed for the 2024 season.
Once unwrapped the boat is scheduled for summarization and detail (all paid for)
Boat also comes with all the water toys, mouring, cover and trailer.
- 3 surf boards (New last year)
- wakeboard (New last year)
- 2 × 3 person tunes (3 years old)
- 2 knee boards (3 years old)
- ropes/handles
Great boat, Great wave, paired with the flow 2.0 surf system with Auto Wake System and factory 2400lbs balast --> only 93hrs on the 6.2L Indamar Raptor Engine.
Build sheet imcluded for additional info.
Have videos to share, should you be serious. Thanks.",198 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-for-utsc-centennial-college-student/1688036109
Private Rooms/Sharing Rooms Available!,,"Scarborough, ON M1C",2024-03-12 21:02:41,Basement,2,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,"May 1, 2024",No,600,Yes,Yes,Not Included,No,"Laundry (In Building), Fridge / Freezer",,"Near Centennial college/ University of Toronto
TTC Bus stops 1 min away.
Student preferred.
Private room 650!
Sharing 1000!",5 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-rooms-sharing-rooms-available/1688035903
Find office space in Spaces 325 Front Street for 1 person,339,"325 Front Street, Toronto, ON, M5V 2Y1",2024-03-12 21:01:51,,,,,,,,,,538,Yes,,,,,,"Set your business up for success with a professional office just for you. ELEVATE YOUR WORK AT SPACES Spaces, Spaces, 325 Front Street WEST.Take your business to new heights when you base it next to the iconic CN Tower in Toronto. Work where finance meets fun in the prime location of Spaces, Spaces, 325 Front Street West, in Old Torontos buzzing business hub and entertainment district. Easily commute and gather guests here as youre just a short walk from the subway and trains at Union Station. Create and collaborate as you work next to thriving tech companies and start-ups, in sociable coworking spaces or flexible private offices. Brainstorm your next big idea in style in our spacious, on-demand meeting rooms. Work smart in bright, modern spaces thanks to our superfast WiFi and business-grade equipment. Chat to our friendly reception team who can lighten your load and help your day go more smoothly. Enjoy the many facilities this sustainable building has to offer, from a coffee shop, restaurant and gym to 24/7 security and ample parking for cars and bicycles. When you step away from your laptop, take a head-clearing stroll in nearby parks, and at the end of the day youre surrounded by restaurants, bars, music and theatres. Create and personalise a perfectly sized environment for a team of 1 with 86 sqft of private office space in Spaces 325 Front Street. Our small offices are fully serviced, accessible 24/7, and include unlimited coworking access to our business club during business hours. And because we know how quickly business can change, well never ask you to sign your life away our contract terms are flexible and tailored to your specific needs.Spaces Private Offices include:Access to our global network with thousands of locations worldwideFriendly reception and support teamSecure, business-grade technology and Wi-FiPrinters and access to admin supportCleaning, utilities, and securityDesk space available by the hour, day, or monthRegular networking and community eventsEasy booking and account management via our appCustomisable and flexible layoutsWorkspaces that scale up and move with your businessHigh-quality ergonomic furnitureAdditional access to 538 sqft of shared workspacePricing starts at 339Just so you know; all images shown in this listing are from Spaces locations, but they may not correspond to this specific one.Get in touch.Donnez toutes les chances de réussite à votre entreprise avec un bureau professionnel juste pour vous. FAITES PASSER VOTRE TRAVAIL AU NIVEAU SUPÉRIEUR AU SPACES 323, RUE FRONT OUEST À TORONTO.Votre entreprise atteindra de nouvelles hauteurs lorsque vous l'établirez à côté de l'emblématique tour du CN. Dans cet emplacement de prestige, la finance et le divertissement vont main dans la main à cause de la proximité d'Old Town Toronto et du quartier des spectacles avec ses établissements vibrants. Déplacez-vous facilement et faites profiter vos invités de déplacements simplifiés grâce à la gare intermodale Union Station à seulement un jet de pierre. Profitez d'un environnement marqué par des entreprises de technologie florissantes et inspirez-vous-en dans le cadre de vos propres créations et du travail avec vos collaborateurs, le tout dans nos espaces de coworking et nos bureaux privés aux conditions flexibles. Réunissez votre équipe et accouchez de votre prochaine idée de génie dans l'une de nos spacieuses salles de réunion sur demande.Stimulez votre productivité dans nos espaces modernes et éclairés, et bénéficiez d'un réseau Internet ultrarapide et d'équipements de calibre professionnel. Notre sympathique équipe à la réception s'occupera de vous dépanner tout au long de la journée. Ce bâtiment durable est doté d'un service de sécurité en tout temps et vous permet de profiter d'une grande variété de commodités sur place, allant des cafés aux restos, en passant par le gymnase et le vaste stationnement pour voitures et vélos. Créez et personnalisez un environnement aux proportions idéales pour une équipe de 1 employés, avec 86 sqft de bureaux privés à Spaces 325 Front Street. Nos bureaux de petite taille sont entièrement équipés, accessibles 24 heures sur 24, 7 jours sur 7, et incluent un accès illimité en coworking à notre club d'affaires pendant les heures ouvrables. Et parce que nous sommes parfaitement conscients des différents revirements qu'une entreprise peut subir, nous ne vous demanderons jamais un engagement à vie : nous proposons des conditions contractuelles flexibles et adaptées à vos besoins spécifiques.Les bureaux privatifs Spaces incluent :L'accès à notre réseau de milliers de sites à travers le mondeUne équipe de réception et d'assistance chaleureuseL'accès à une technologie de pointe et au Wi-Fi sécuriséDes imprimantes et une assistance administrativeDes services de nettoyage, d'entretien et de sécuritéLa possibilité de réserver un bureau à l'heure, à la journée ou au moisDe fréquents évènements communautaires et de réseauUne application spécifique qui simplifie la réservation et la gestion de votre compteDes configurations flexibles et personnalisablesDes espaces de travail qui évoluent en même temps que votre entrepriseDu mobilier ergonomique de grande qualitéL'accès à 538 sqft d'espace de travail partagé supplémentaireDes tarifs à partir de 339Pour information, toutes les images qui figurent ici proviennent de sites Spaces, mais ne correspondent pas nécessairement à celui dont nous parlons ici.Nous contacter.",,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/find-office-space-in-spaces-325-front-street-for-1-person/1627996392
Book a reserved coworking spot or hot desk in Queen & Bay,339,"401 Bay Street, 16th Floor, Toronto, ON, M5H 2Y4",2024-03-12 21:01:50,,,,,,,,,,323,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/book-a-reserved-coworking-spot-or-hot-desk-in-queen-bay/1523240220
Book a reserved coworking spot or hot desk in Yonge and Sheppard,330,"4711 Yonge Street, Suite 1000, Toronto, ON, M2N 7E4",2024-03-12 21:01:50,,,,,,,,,,323,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/book-a-reserved-coworking-spot-or-hot-desk-in-yonge-and-sheppard/1523134540
Private office space for 3 persons in Don Mills,1283,"895 Don Mills Road, Two Morneau Shepell Centre, Suite 900, Toronto, ON, M3C 1W3",2024-03-12 21:01:50,,,,,,,,,,646,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-space-for-3-persons-in-don-mills/1649069518
Access professional coworking space in Yonge and Richmond Centre,279,"151 Yonge Street, 11th Floor, Toronto, ON, M5C 1W4",2024-03-12 21:01:50,,,,,,,,,,108,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/access-professional-coworking-space-in-yonge-and-richmond-centre/1520807555
Fully serviced private office space for you and your team,2294,"130 King Street, Suite 1800, Toronto, ON, M5X 1E3",2024-03-12 21:01:50,,,,,,,,,,646,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/fully-serviced-private-office-space-for-you-and-your-team/1523134625
Access professional coworking space in Eaton Centre,279,"1 Dundas Street West , Suite 2500, Toronto, ON, M5G 1Z3",2024-03-12 21:01:50,,,,,,,,,,108,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/access-professional-coworking-space-in-eaton-centre/1520767771
Fully serviced private office space for you and your team,1538,"3080 Yonge Street, Suite 6060, Toronto, ON, M4N 3N1",2024-03-12 21:01:50,,,,,,,,,,646,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/fully-serviced-private-office-space-for-you-and-your-team/1522981494
Private office space tailored to your business’ unique needs,1482,"10 Four Seasons Place, Suite 1000, Etobicoke, ON, M9B 6H7",2024-03-12 21:01:49,,,,,,,,,,807,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-space-tailored-to-your-business-unique-needs/1520256800
Fully serviced private office space for you and your team in Eat,1435,"1 Dundas Street West , Suite 2500, Toronto, ON, M5G 1Z3",2024-03-12 21:01:49,,,,,,,,,,646,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/fully-serviced-private-office-space-for-you-and-your-team-in-eat/1520256443
Access professional coworking space in Queen Richmond Centre,279,"111 Queen Street East, 4th Floor, Toronto, ON, M5C 1S2",2024-03-12 21:01:49,,,,,,,,,,108,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/access-professional-coworking-space-in-queen-richmond-centre/1520465655
Private office space for 3 persons in Islington Station,1038,"3250 Bloor Street West, Suite 600, Toronto, ON, M8X 2X9",2024-03-12 21:01:49,,,,,,,,,,646,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-space-for-3-persons-in-islington-station/1520465711
Access professional coworking space in Liberty Village,279,"60 Atlantic Avenue, Suite 200, Toronto, ON, M6K 1X9",2024-03-12 21:01:49,,,,,,,,,,108,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/access-professional-coworking-space-in-liberty-village/1520465659
Tailor-made dream offices for 1 person in SPACES THE JUNCTION,651,"1655 Dupont Street, Toronto, ON, M6P 3S9",2024-03-12 21:01:48,,,,,,,,,,538,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/tailor-made-dream-offices-for-1-person-in-spaces-the-junction/1513599130
Private office space tailored to your business’ unique needs,1932,"229 Yonge Street, Suite 400, Toronto, ON, M5B 1N9",2024-03-12 21:01:48,,,,,,,,,,807,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-space-tailored-to-your-business-unique-needs/1513833908
Private office space for 2 persons in First Canadian Place,896,"100 King Street West, 37th floor, Toronto, ON, M5V 1K4",2024-03-12 21:01:48,,,,,,,,,,538,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-space-for-2-persons-in-first-canadian-place/1519645401
Book a reserved coworking spot or hot desk in Yonge & Shuter,339,"229 Yonge Street, Suite 400, Toronto, ON, M5B 1N9",2024-03-12 21:01:48,,,,,,,,,,323,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/book-a-reserved-coworking-spot-or-hot-desk-in-yonge-shuter/1513264745
Private office space for 2 persons in Brookfield Place,1038,"161 Bay Street TD Canada trust Tower, 27th Floor, Toronto, ON, M5J 2S1",2024-03-12 21:01:47,,,,,,,,,,538,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-space-for-2-persons-in-brookfield-place/1512520835
Private office space for 3 persons in Liberty Village,896,"60 Atlantic Avenue, Suite 200, Toronto, ON, M6K 1X9",2024-03-12 21:01:47,,,,,,,,,,646,Yes,,,,,,,,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/private-office-space-for-3-persons-in-liberty-village/1505800316
Beautiful Furnished Studio in the Core of Downtown Toronto,2995,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:46,Apartment,Bachelor/Studio,1,"Hydro_Yes,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,303,Yes,Yes,Not Included,Outdoors only,Laundry (In Building),"Gym, Pool, Bicycle Parking, Elevator in Building",Live in the Heart of Downtown Toronto at Bay & Bloor!,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-furnished-studio-in-the-core-of-downtown-toronto/1505825513
1 Bedroom Apartment Near Bay and Bloor,2695,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:46,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,535,No,Yes,Not Included,No,Laundry (In Building),"Gym, Pool, Bicycle Parking, Elevator in Building",Live in the Heart of Downtown Toronto at Bay & Bloor!,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-near-bay-and-bloor/1652656996
Spacious 2 Bedroom Apartment near Bay and Bloor,3645,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:45,Apartment,2,1,,Not Included,0,1 Year,,No,Not Available,No,No,Not Included,Outdoors only,,,Live in the Heart of Downtown Toronto at Bay & Bloor!,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-2-bedroom-apartment-near-bay-and-bloor/1651944034
Prime Downtown Location! Bachelor Apartment near Bay and Bloor,2395,"1101 Bay Street, Toronto, ON, M5S 2W8",2024-03-12 21:01:44,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,No,423,No,Yes,Not Included,Outdoors only,Laundry (In Building),"Gym, Pool, Bicycle Parking, Elevator in Building","Live in the Heart of Downtown Toronto at Bay & Bloor! 1101 Bay has a selection of Bachelor, 1 Bedroom and 2 Bedroom apartments for rent. Rentals Available Now!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/prime-downtown-location-bachelor-apartment-near-bay-and-bloor/1685406898
Room for rent,650,"Kennedy Rd, Scarborough, ON, M1R2W6",2024-03-12 21:01:29,,,,,,,,,,,Yes,,,,,,"Bright room available for rent near Kennedy subway station.
Kitchenette only.
Shared bathroom.
Wifi high speed internet included.
Basic cable available.
Parking available.
Near shopping centre.
Requirements:
First and last months rent.
Picture ID.
Emergency contact.
One reference required
No credit check.
Serious inquiries only please call Martina 4377707335",13 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1688035775
